INFO 2023-10-28 16:53:03,111 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 Lyciaa@LAPTOP-3MHQFBA8
ERROR 2023-10-28 16:53:04,884 NE_RS_UNBLDRE: Unable to load application resource file /resources/index.html api\debug\debug.cpp:20 Lyciaa@LAPTOP-3MHQFBA8
ERROR 2023-10-28 16:53:21,600 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 Lyciaa@LAPTOP-3MHQFBA8
INFO 2023-10-28 16:54:15,877 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 Lyciaa@LAPTOP-3MHQFBA8
ERROR 2023-10-28 16:54:18,420 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 Lyciaa@LAPTOP-3MHQFBA8
INFO 2023-10-28 16:55:47,569 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 Lyciaa@LAPTOP-3MHQFBA8
ERROR 2023-10-28 16:55:49,034 NE_RS_UNBLDRE: Unable to load application resource file /resources/index.html api\debug\debug.cpp:20 Lyciaa@LAPTOP-3MHQFBA8
INFO 2023-10-28 16:56:29,848 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 Lyciaa@LAPTOP-3MHQFBA8
ERROR 2023-10-28 16:56:32,204 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 Lyciaa@LAPTOP-3MHQFBA8
INFO 2023-10-28 16:59:55,321 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 Lyciaa@LAPTOP-3MHQFBA8
ERROR 2023-10-28 16:59:57,062 NE_RS_UNBLDRE: Unable to load application resource file /resources/index.html api\debug\debug.cpp:20 Lyciaa@LAPTOP-3MHQFBA8
ERROR 2023-10-28 17:00:15,621 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 Lyciaa@LAPTOP-3MHQFBA8
INFO 2023-10-28 17:01:08,129 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 Lyciaa@LAPTOP-3MHQFBA8
ERROR 2023-10-28 17:01:10,931 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 Lyciaa@LAPTOP-3MHQFBA8
INFO 2023-10-28 17:01:27,401 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 Lyciaa@LAPTOP-3MHQFBA8
ERROR 2023-10-28 17:01:29,896 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 Lyciaa@LAPTOP-3MHQFBA8
INFO 2023-10-28 17:06:01,543 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 Lyciaa@LAPTOP-3MHQFBA8
ERROR 2023-10-28 17:06:04,169 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 Lyciaa@LAPTOP-3MHQFBA8
INFO 2023-10-28 17:07:28,517 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 Lyciaa@LAPTOP-3MHQFBA8
ERROR 2023-10-28 17:07:30,779 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 Lyciaa@LAPTOP-3MHQFBA8
INFO 2023-10-28 17:36:14,270 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 Lyciaa@LAPTOP-3MHQFBA8
ERROR 2023-10-28 17:36:17,152 NE_RS_UNBLDRE: Unable to load application resource file /resources/index.html api\debug\debug.cpp:20 Lyciaa@LAPTOP-3MHQFBA8
ERROR 2023-10-28 17:36:28,131 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 Lyciaa@LAPTOP-3MHQFBA8
INFO 2023-10-28 17:41:06,829 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 Lyciaa@LAPTOP-3MHQFBA8
ERROR 2023-10-28 17:41:10,149 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 Lyciaa@LAPTOP-3MHQFBA8
INFO 2023-10-28 17:41:58,495 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 Lyciaa@LAPTOP-3MHQFBA8
ERROR 2023-10-28 17:42:01,315 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 Lyciaa@LAPTOP-3MHQFBA8
INFO 2023-10-28 17:43:09,159 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 Lyciaa@LAPTOP-3MHQFBA8
ERROR 2023-10-28 17:43:11,825 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 Lyciaa@LAPTOP-3MHQFBA8
INFO 2023-10-28 17:43:41,346 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 Lyciaa@LAPTOP-3MHQFBA8
ERROR 2023-10-28 17:43:44,027 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 Lyciaa@LAPTOP-3MHQFBA8
INFO 2023-10-28 17:51:36,433 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 Lyciaa@LAPTOP-3MHQFBA8
ERROR 2023-10-28 17:51:39,002 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 Lyciaa@LAPTOP-3MHQFBA8
INFO 2023-10-28 17:55:09,426 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 Lyciaa@LAPTOP-3MHQFBA8
ERROR 2023-10-28 17:55:10,904 NE_RS_UNBLDRE: Unable to load application resource file /resources/index.html api\debug\debug.cpp:20 Lyciaa@LAPTOP-3MHQFBA8
ERROR 2023-10-28 17:55:25,581 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 Lyciaa@LAPTOP-3MHQFBA8
INFO 2023-10-28 17:56:07,012 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 Lyciaa@LAPTOP-3MHQFBA8
ERROR 2023-10-28 17:56:09,770 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 Lyciaa@LAPTOP-3MHQFBA8
INFO 2023-10-28 17:58:09,217 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 Lyciaa@LAPTOP-3MHQFBA8
ERROR 2023-10-28 17:58:11,917 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 Lyciaa@LAPTOP-3MHQFBA8
INFO 2023-10-28 17:59:19,153 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 Lyciaa@LAPTOP-3MHQFBA8
ERROR 2023-10-28 17:59:21,702 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 Lyciaa@LAPTOP-3MHQFBA8
INFO 2023-10-28 18:00:33,198 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 Lyciaa@LAPTOP-3MHQFBA8
ERROR 2023-10-28 18:00:36,080 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 Lyciaa@LAPTOP-3MHQFBA8
INFO 2023-10-28 18:01:09,025 Reloading the application... api\debug\debug.cpp:17 Lyciaa@LAPTOP-3MHQFBA8
INFO 2023-10-28 18:01:34,074 Reloading the application... api\debug\debug.cpp:17 Lyciaa@LAPTOP-3MHQFBA8
INFO 2023-10-28 18:02:04,054 Reloading the application... api\debug\debug.cpp:17 Lyciaa@LAPTOP-3MHQFBA8
INFO 2023-10-28 18:02:12,656 Reloading the application... api\debug\debug.cpp:17 Lyciaa@LAPTOP-3MHQFBA8
INFO 2023-10-28 18:02:34,774 Reloading the application... api\debug\debug.cpp:17 Lyciaa@LAPTOP-3MHQFBA8
INFO 2023-10-28 18:03:05,771 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 Lyciaa@LAPTOP-3MHQFBA8
ERROR 2023-10-28 18:03:08,745 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 Lyciaa@LAPTOP-3MHQFBA8
INFO 2023-10-28 18:03:19,256 Reloading the application... api\debug\debug.cpp:17 Lyciaa@LAPTOP-3MHQFBA8
INFO 2023-10-28 18:03:53,230 Reloading the application... api\debug\debug.cpp:17 Lyciaa@LAPTOP-3MHQFBA8
INFO 2023-10-28 18:04:13,136 Reloading the application... api\debug\debug.cpp:17 Lyciaa@LAPTOP-3MHQFBA8
INFO 2023-10-28 18:04:28,520 Reloading the application... api\debug\debug.cpp:17 Lyciaa@LAPTOP-3MHQFBA8
INFO 2023-10-28 18:04:51,522 Reloading the application... api\debug\debug.cpp:17 Lyciaa@LAPTOP-3MHQFBA8
INFO 2023-10-28 18:05:08,031 Reloading the application... api\debug\debug.cpp:17 Lyciaa@LAPTOP-3MHQFBA8
INFO 2023-10-28 18:06:48,835 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 Lyciaa@LAPTOP-3MHQFBA8
ERROR 2023-10-28 18:06:51,639 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 Lyciaa@LAPTOP-3MHQFBA8
INFO 2023-10-28 18:07:06,391 Reloading the application... api\debug\debug.cpp:17 Lyciaa@LAPTOP-3MHQFBA8
INFO 2023-10-28 18:08:10,173 Reloading the application... api\debug\debug.cpp:17 Lyciaa@LAPTOP-3MHQFBA8
INFO 2023-10-28 18:08:27,215 Reloading the application... api\debug\debug.cpp:17 Lyciaa@LAPTOP-3MHQFBA8
INFO 2023-10-28 18:09:16,842 Reloading the application... api\debug\debug.cpp:17 Lyciaa@LAPTOP-3MHQFBA8
INFO 2023-10-28 18:09:34,855 Reloading the application... api\debug\debug.cpp:17 Lyciaa@LAPTOP-3MHQFBA8
INFO 2023-10-28 18:09:48,923 Reloading the application... api\debug\debug.cpp:17 Lyciaa@LAPTOP-3MHQFBA8
INFO 2023-10-28 18:09:52,422 Reloading the application... api\debug\debug.cpp:17 Lyciaa@LAPTOP-3MHQFBA8
INFO 2023-10-28 18:11:37,826 Reloading the application... api\debug\debug.cpp:17 Lyciaa@LAPTOP-3MHQFBA8
INFO 2023-10-28 18:11:55,047 Reloading the application... api\debug\debug.cpp:17 Lyciaa@LAPTOP-3MHQFBA8
INFO 2023-10-28 18:12:23,249 Reloading the application... api\debug\debug.cpp:17 Lyciaa@LAPTOP-3MHQFBA8
INFO 2023-10-28 18:28:12,008 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 Lyciaa@LAPTOP-3MHQFBA8
ERROR 2023-10-28 18:28:14,462 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 Lyciaa@LAPTOP-3MHQFBA8
INFO 2023-10-28 18:28:46,730 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 Lyciaa@LAPTOP-3MHQFBA8
ERROR 2023-10-28 18:28:49,306 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 Lyciaa@LAPTOP-3MHQFBA8
INFO 2023-10-28 18:32:47,338 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 Lyciaa@LAPTOP-3MHQFBA8
ERROR 2023-10-28 18:32:50,079 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 Lyciaa@LAPTOP-3MHQFBA8
INFO 2023-10-28 18:33:15,810 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 Lyciaa@LAPTOP-3MHQFBA8
ERROR 2023-10-28 18:33:18,550 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 Lyciaa@LAPTOP-3MHQFBA8
INFO 2023-10-28 18:34:00,763 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 Lyciaa@LAPTOP-3MHQFBA8
ERROR 2023-10-28 18:34:03,690 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 Lyciaa@LAPTOP-3MHQFBA8
INFO 2023-10-28 18:36:04,732 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 Lyciaa@LAPTOP-3MHQFBA8
ERROR 2023-10-28 18:36:07,235 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 Lyciaa@LAPTOP-3MHQFBA8
INFO 2023-10-28 18:36:41,508 Reloading the application... api\debug\debug.cpp:17 Lyciaa@LAPTOP-3MHQFBA8
INFO 2023-10-28 18:37:55,997 Reloading the application... api\debug\debug.cpp:17 Lyciaa@LAPTOP-3MHQFBA8
INFO 2023-10-28 18:38:31,775 Reloading the application... api\debug\debug.cpp:17 Lyciaa@LAPTOP-3MHQFBA8
INFO 2023-10-28 18:39:19,879 Reloading the application... api\debug\debug.cpp:17 Lyciaa@LAPTOP-3MHQFBA8
INFO 2023-10-28 18:40:51,214 Reloading the application... api\debug\debug.cpp:17 Lyciaa@LAPTOP-3MHQFBA8
INFO 2023-10-28 18:43:24,449 Reloading the application... api\debug\debug.cpp:17 Lyciaa@LAPTOP-3MHQFBA8
INFO 2023-10-28 19:37:53,207 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 Lyciaa@LAPTOP-3MHQFBA8
ERROR 2023-10-28 19:37:55,187 NE_RS_UNBLDRE: Unable to load application resource file /resources/index.html api\debug\debug.cpp:20 Lyciaa@LAPTOP-3MHQFBA8
ERROR 2023-10-28 19:38:07,433 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 Lyciaa@LAPTOP-3MHQFBA8
INFO 2023-10-28 19:46:42,759 Reloading the application... api\debug\debug.cpp:17 Lyciaa@LAPTOP-3MHQFBA8
INFO 2023-10-28 19:47:11,654 Reloading the application... api\debug\debug.cpp:17 Lyciaa@LAPTOP-3MHQFBA8
INFO 2023-10-28 19:47:28,923 Reloading the application... api\debug\debug.cpp:17 Lyciaa@LAPTOP-3MHQFBA8
INFO 2023-10-28 19:48:47,859 Reloading the application... api\debug\debug.cpp:17 Lyciaa@LAPTOP-3MHQFBA8
INFO 2023-10-28 19:49:07,063 Reloading the application... api\debug\debug.cpp:17 Lyciaa@LAPTOP-3MHQFBA8
INFO 2023-10-28 19:55:36,474 Reloading the application... api\debug\debug.cpp:17 Lyciaa@LAPTOP-3MHQFBA8
INFO 2023-10-28 19:55:42,412 Reloading the application... api\debug\debug.cpp:17 Lyciaa@LAPTOP-3MHQFBA8
INFO 2023-10-28 19:56:37,095 Reloading the application... api\debug\debug.cpp:17 Lyciaa@LAPTOP-3MHQFBA8
INFO 2023-10-28 19:56:46,057 Reloading the application... api\debug\debug.cpp:17 Lyciaa@LAPTOP-3MHQFBA8
INFO 2023-10-28 19:57:13,285 Reloading the application... api\debug\debug.cpp:17 Lyciaa@LAPTOP-3MHQFBA8
INFO 2023-10-28 19:58:00,102 Reloading the application... api\debug\debug.cpp:17 Lyciaa@LAPTOP-3MHQFBA8
INFO 2023-10-28 19:58:38,402 Reloading the application... api\debug\debug.cpp:17 Lyciaa@LAPTOP-3MHQFBA8
INFO 2023-10-28 19:59:14,542 Reloading the application... api\debug\debug.cpp:17 Lyciaa@LAPTOP-3MHQFBA8
INFO 2023-10-28 19:59:42,693 Reloading the application... api\debug\debug.cpp:17 Lyciaa@LAPTOP-3MHQFBA8
INFO 2023-10-28 20:00:27,964 Reloading the application... api\debug\debug.cpp:17 Lyciaa@LAPTOP-3MHQFBA8
INFO 2023-10-28 20:01:42,291 Reloading the application... api\debug\debug.cpp:17 Lyciaa@LAPTOP-3MHQFBA8
INFO 2023-10-28 20:02:14,151 Reloading the application... api\debug\debug.cpp:17 Lyciaa@LAPTOP-3MHQFBA8
INFO 2023-10-28 20:02:26,691 Reloading the application... api\debug\debug.cpp:17 Lyciaa@LAPTOP-3MHQFBA8
INFO 2023-10-28 20:07:08,455 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 Lyciaa@LAPTOP-3MHQFBA8
ERROR 2023-10-28 20:07:11,220 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 Lyciaa@LAPTOP-3MHQFBA8
INFO 2023-10-28 20:08:27,815 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 Lyciaa@LAPTOP-3MHQFBA8
ERROR 2023-10-28 20:08:30,571 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 Lyciaa@LAPTOP-3MHQFBA8
INFO 2023-10-28 20:09:30,607 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 Lyciaa@LAPTOP-3MHQFBA8
ERROR 2023-10-28 20:09:33,314 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 Lyciaa@LAPTOP-3MHQFBA8
INFO 2023-10-28 20:10:54,409 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 Lyciaa@LAPTOP-3MHQFBA8
ERROR 2023-10-28 20:10:57,133 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 Lyciaa@LAPTOP-3MHQFBA8
INFO 2023-10-28 20:11:27,470 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 Lyciaa@LAPTOP-3MHQFBA8
ERROR 2023-10-28 20:11:30,047 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 Lyciaa@LAPTOP-3MHQFBA8
INFO 2023-10-28 20:12:00,801 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 Lyciaa@LAPTOP-3MHQFBA8
ERROR 2023-10-28 20:12:03,556 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 Lyciaa@LAPTOP-3MHQFBA8
INFO 2023-10-28 20:12:43,964 Reloading the application... api\debug\debug.cpp:17 Lyciaa@LAPTOP-3MHQFBA8
INFO 2023-10-28 20:13:00,370 Reloading the application... api\debug\debug.cpp:17 Lyciaa@LAPTOP-3MHQFBA8
INFO 2023-10-28 20:13:04,007 Reloading the application... api\debug\debug.cpp:17 Lyciaa@LAPTOP-3MHQFBA8
INFO 2023-10-28 20:13:32,073 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 Lyciaa@LAPTOP-3MHQFBA8
ERROR 2023-10-28 20:13:34,586 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 Lyciaa@LAPTOP-3MHQFBA8
INFO 2023-10-28 20:14:36,020 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 Lyciaa@LAPTOP-3MHQFBA8
ERROR 2023-10-28 20:14:38,442 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 Lyciaa@LAPTOP-3MHQFBA8
INFO 2023-10-28 20:14:55,657 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 Lyciaa@LAPTOP-3MHQFBA8
ERROR 2023-10-28 20:14:58,482 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 Lyciaa@LAPTOP-3MHQFBA8
INFO 2023-10-28 20:18:16,688 Reloading the application... api\debug\debug.cpp:17 Lyciaa@LAPTOP-3MHQFBA8
INFO 2023-10-28 20:19:15,770 Reloading the application... api\debug\debug.cpp:17 Lyciaa@LAPTOP-3MHQFBA8
INFO 2023-10-28 20:20:16,232 Reloading the application... api\debug\debug.cpp:17 Lyciaa@LAPTOP-3MHQFBA8
INFO 2023-10-28 20:20:55,087 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 Lyciaa@LAPTOP-3MHQFBA8
ERROR 2023-10-28 20:20:58,046 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 Lyciaa@LAPTOP-3MHQFBA8
INFO 2023-10-28 20:22:24,295 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 Lyciaa@LAPTOP-3MHQFBA8
ERROR 2023-10-28 20:22:27,071 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 Lyciaa@LAPTOP-3MHQFBA8
INFO 2023-10-28 20:35:56,592 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 Lyciaa@LAPTOP-3MHQFBA8
ERROR 2023-10-28 20:35:59,304 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 Lyciaa@LAPTOP-3MHQFBA8
INFO 2023-10-28 20:37:04,504 Reloading the application... api\debug\debug.cpp:17 Lyciaa@LAPTOP-3MHQFBA8
INFO 2023-10-28 20:38:33,298 Reloading the application... api\debug\debug.cpp:17 Lyciaa@LAPTOP-3MHQFBA8
INFO 2023-10-28 20:40:59,367 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 Lyciaa@LAPTOP-3MHQFBA8
ERROR 2023-10-28 20:41:02,375 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 Lyciaa@LAPTOP-3MHQFBA8
